brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
NISSAN,ALMERA,ALMERA 1.2 E SPORTECH,2015,10,108000,10800,1,AT,UNKNOWN,UNKNOWN,117000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17298
NISSAN,ALMERA,ALMERA 1.2 EL,2015,10,108000,10800,1,UNKNOWN,UNKNOWN,UNKNOWN,116500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17299
NISSAN,ALMERA,ALMERA 1.2 S MAN,2015,10,108000,10800,1,UNKNOWN,UNKNOWN,UNKNOWN,94000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17300
NISSAN,FRONTIER,FRONTIER 2.5 SINGLE CAB AE MAN,2007,18,100000,5555.555556,1,UNKNOWN,UNKNOWN,UNKNOWN,109500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17301
NISSAN,FRONTIER,FRONTIER 2.5 SINGLE CAB AEP MAN,2007,18,100000,5555.555556,1,UNKNOWN,UNKNOWN,UNKNOWN,115500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17302
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB GT CALIBRE LE 2WD,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,204500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17303
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SE 2WD MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,161500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17304
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB CALIBRE SE 2WD MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,206500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17305
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB GT 2WD MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,219500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17306
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB SV CALIBRE LE 5SP 2WD (DVD),2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,247000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17307
